Lineage,Country,Localitynew,Latitude,Longitude_c,Island,Sex,Bill,Wing
Tyto alba,Kenya,Cherangani,1.25,35.45,0,NA,202,291
Tyto alba,Kenya,TransNzoia,1.1,34.99,0,2,201,287
Tyto alba,Kenya,Nairobi,-1.283,36.8375,0,1,193,300
Tyto alba,Kenya,TransNzoia,1.1,34.9905,0,NA,185,299
Tyto alba,Kenya,TransNzoia,1.1,34.9915,0,1,207,310
Tyto alba,Kenya,Nairobi,-1.283,36.838,0,1,194,290
Tyto alba,Kenya,Chyulu,-2.53,37.8205,0,1,195,298
Tyto alba,Kenya,Nairobi,-1.283,36.839,0,1,187,299
Tyto alba,Kenya,Nairobi,-1.283,36.84,0,1,195,294
Tyto alba,Kenya,Nairobi,-1.283,36.8405,0,2,212,306
Tyto alba,Kenya,AthiRiver,-1.46,36.9805,0,1,194,293
Tyto alba,Kenya,Nairobi,-1.283,36.841,0,1,193,293
Tyto alba,Kenya,TransNzoia,1.1,34.992,0,NA,203,288
Tyto alba,Kenya,Chyulu,-2.53,37.82,0,2,210,300
Tyto alba,Kenya,Nairobi,-1.283,36.842,0,2,224,303
Tyto alba,Kenya,Nairobi,-1.283,36.8425,0,NA,220,290
Tyto alba,Kenya,Kikuyu,-1.25,36.6805,0,2,197,286
Tyto alba,Liberia,Firestone,6.39,-10.35,0,2,189,272
Tyto alba,Liberia,Liberia,6.46,-9.53,0,NA,187,279
Tyto alba,Liberia,Grassfield,7.57,-8.55,0,2,201,287
Tyto alba,Liberia,Firestone,6.39,-10.351,0,2,196,283
Tyto alba,Liberia,Firestone,6.39,-10.3505,0,NA,196,277
Tyto alba,Malawi,Malawi,-13.35,34,0,NA,187,290
Tyto alba,Malawi,Zomba,-15.39,35.3305,0,1,198,298
Tyto alba,Malawi,Malawi,-13.35,34.0005,0,NA,194,294
Tyto alba,Malawi,Malawi,-13.35,34.001,0,NA,194,294
Tyto alba,Malawi,Malawi,-13.35,34.0015,0,1,192,289
Tyto alba,Malawi,Malawi,-13.35,34.002,0,2,180,271
Tyto alba,Malawi,Malawi,-13.35,34.003,0,1,187,289
Tyto alba,Malawi,Malawi,-13.35,34.0035,0,1,191,291
Tyto alba,Malawi,Malawi,-13.35,34.004,0,2,199,291
Tyto alba,Malawi,Malawi,-13.35,34.0045,0,1,183,288
Tyto alba,Malawi,Malawi,-13.35,34.005,0,2,192,289
Tyto alba,Malawi,Malawi,-13.35,34.0055,0,NA,188,284
Tyto alba,Malawi,Thyolo,-16.07,35.14,0,1,201,290
Tyto alba,Malawi,Luchenza,-16.01,35.3,0,2,207,301
Tyto alba,Malawi,Zomba,-15.39,35.33,0,NA,187,275
Tyto alba,Malawi,Katete,-12.28,33.65,0,NA,199,297
Tyto alba,Malawi,Nswaswa,-15.46,35.17,0,NA,198,291
Tyto alba,Malawi,Mphunzi,-14.38,34.19,0,2,192,280
Tyto alba,Malawi,Mphunzi,-14.38,34.1905,0,NA,203,308
Tyto alba,Malawi,Mphunzi,-14.38,34.191,0,2,193,307
Tyto alba,Mali,Bamako,12.61,-8,0,NA,193,286
Tyto alba,Mali,LacDebo,15.36,-4.14,0,1,203,283
Tyto alba,Mali,Timbuktu,16.77,-3,0,1,202,294
Tyto alba,Mozambique,Gonda,-18.66,33.75,0,1,189,305
Tyto alba,Mozambique,Macia,-25.03,33.1,0,1,194,289
Tyto alba,Mozambique,Zanbezia,-16.6,36.82,0,2,198,294
Tyto alba,Mozambique,Zanbezia,-16.6,36.8205,0,NA,194,284
Tyto alba,Mozambique,Maputo,-25.88,32.6,0,2,189,286
Tyto alba,Mozambique,Beira,-19.83,34.8505,0,2,206,291
Tyto alba,Mozambique,InhacaIsland,-26.01,32.95,1,NA,195,292
Tyto alba,Mozambique,Manhica,-25.35,32.8,0,1,198,293
Tyto alba,Mozambique,Panda,-24.07,34.73,0,2,195,281
Tyto alba,Mozambique,Panda,-24.07,34.7305,0,2,188,294
Tyto alba,Namibia,Keribib,-21.93,15.85,0,2,192,301
Tyto alba,Namibia,Osire,-21.07,17.36,0,NA,202,283
Tyto alba,Namibia,Okahandja,-21.97,16.91,0,1,198,291
Tyto alba,Namibia,ErongoMount,-21.67,15.68,0,2,207,290
Tyto alba,Namibia,Gibeon,-25.12,17.75,0,2,194,282
Tyto alba,Namibia,Okahandja,-21.97,16.9105,0,2,206,302
Tyto alba,Namibia,Andara,-18.06,21.44,0,1,190,286
Tyto alba,Swaziland,Swaziland,-26.6,31.501,0,2,210,300
Tyto alba,Namibia,Ondonga,-17.88,15.88,0,2,202,286
Tyto alba,Niger,Dosso,13.03,3.26,0,NA,196,294
Tyto alba,Nigeria,Dangara,8.57,6.9005,0,1,182,291
Tyto alba,Nigeria,Dangara,8.57,6.9,0,1,190,277
